,ZZ_Series,Single_episodes,part_name,resolution,link
26,ghostbusters_xxx_parody,ghostbusters_xxx_parody_part_3_1080p.mp4,part_3,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/ghostbusters_xxx_parody/zz_series_ghostbusters_xxx_parody_part_3_1080p.mp4
27,ghostbusters_xxx_parody,ghostbusters_xxx_parody_part_4_720p.mp4,part_4,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/ghostbusters_xxx_parody/zz_series_ghostbusters_xxx_parody_part_4_720p.mp4
28,house_3,brazzers_house_3_episode_1_720p.mp4,episode_1,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/house_3/zz_series_brazzers_house_3_episode_1_720p.mp4
29,house_3,brazzers_house_3_episode_2_720p.mp4,episode_2,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/house_3/zz_series_brazzers_house_3_episode_2_720p.mp4
30,house_3,brazzers_house_3_episode_3_720p.mp4,episode_3,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/house_3/zz_series_brazzers_house_3_episode_3_720p.mp4
31,kinky_secrets_of_suburbs,kinky_secrets_of_the_suburbs_part_4_1080p.mp4,part_4,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/kinky_secrets_of_suburbs/zz_series_kinky_secrets_of_the_suburbs_part_4_1080p.mp4
32,lost_in_brazzers,lost_in_brazzers_episode_1_1080p.mp4,episode_1,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/lost_in_brazzers/zz_series_lost_in_brazzers_episode_1_1080p.mp4
33,lost_in_brazzers,lost_in_brazzers_episode_2_720p.mp4,episode_2,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/lost_in_brazzers/zz_series_lost_in_brazzers_episode_2_720p.mp4
34,lost_in_brazzers,lost_in_brazzers_episode_3_720p.mp4,episode_3,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/lost_in_brazzers/zz_series_lost_in_brazzers_episode_3_720p.mp4
35,lost_in_brazzers,lost_in_brazzers_episode_4_720p.mp4,episode_4,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/lost_in_brazzers/zz_series_lost_in_brazzers_episode_4_720p.mp4
36,lust_bite,lust_bite_ep_2_1080p.mp4,ep_2,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/lust_bite/zz_series_lust_bite_ep_2_1080p.mp4
37,lust_bite,lust_bite_ep_3_1080p.mp4,ep_3,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/lust_bite/zz_series_lust_bite_ep_3_1080p.mp4
38,milf_u,milf_u_part_2_1080p.mp4,part_2,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/milf_u/zz_series_milf_u_part_2_1080p.mp4
39,milf_u,milf_u_part_4_1080p.mp4,part_4,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/milf_u/zz_series_milf_u_part_4_1080p.mp4
40,never_get_married,never_get_married_the_aftermath_720p.mp4,the_aftermath,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/never_get_married/zz_series_never_get_married_the_aftermath_720p.mp4
41,never_get_married,never_get_married_the_downward_1080p.mp4,the_downward,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/never_get_married/zz_series_never_get_married_the_downward_1080p.mp4
42,never_get_married,never_get_married_the_revenge_720p.mp4,the_revenge,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/never_get_married/zz_series_never_get_married_the_revenge_720p.mp4
43,never_get_married,never_get_married_the_threesome_720p.mp4,the_threesome,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/never_get_married/zz_series_never_get_married_the_threesome_720p.mp4
44,power_bangers,power_bangers_power_bangers_a_xxx_parody_part_1_720p.mp4,part_1,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/power_bangers/zz_series_power_bangers_power_bangers_a_xxx_parody_part_1_720p.mp4
45,power_bangers,power_bangers_power_bangers_a_xxx_parody_part_2_720p.mp4,part_2,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/power_bangers/zz_series_power_bangers_power_bangers_a_xxx_parody_part_2_720p.mp4
46,power_bangers,power_bangers_power_bangers_a_xxx_parody_part_3_720p.mp4,part_3,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/power_bangers/zz_series_power_bangers_power_bangers_a_xxx_parody_part_3_720p.mp4
47,power_bangers,power_bangers_power_bangers_a_xxx_parody_part_4_720p.mp4,part_4,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/power_bangers/zz_series_power_bangers_power_bangers_a_xxx_parody_part_4_720p.mp4
